Trilha,Coleta,Tribo,Gênero,Espécies,abundância
TC,100m,Morphini,Morpho,Morpho menelaus,1
TC,300m,Coeini,Colobura,Colobura annulata,1
TC,300m,Coeini,Colobura,Colobura dirce,1
TC,300m,Epiphilini,Temenis,Temenis laothoe,1
TC,700m,Ageroniini,Ectima,Ectima thecla,1
TC,700m,Anaeini,Consul,Consul fabius,1
TC,700m,Coeini,Tigridia,Tigridia acesta,1
TC,700m,Epicaliini,Nessaea,Nessaea batesii,1
TC,700m,Satyrini,Magneuptychia,Magneuptychia iris,1
TC,700m,Satyrini,Taygetis,Taygetis virgilia,1
TC,1700m,Ageroniini,Hamadryas,Hamadryas chloe,1
TC,1700m,Coeini,Colobura,Colobura dirce,1
TC,1700m,Coeini,Tigridia,Tigridia acesta,1
TC,1700m,Epicaliini,Nessaea,Nessaea obrinus,1
TC,1700m,Limenitidini,Doxocopa,Doxocopa sp.,1
TC,1700m,Morphini,Morpho,Morpho helenor,1
TC,1700m,Preponini,Archaeoprepona,Archaeoprepona licomedes,1
TC,1700m,Satyrini,Cissia,Cissia confusa,2
TC,1700m,Satyrini,Magneuptychia,Magneuptychia iris,2
